Model,Omics,Uptakes,Deviations,MAE,MAE_SD,RMSE,RMSE_SD,NE,NE_SD,R2,R2_SD,pvalue
DT,P,1,1,0.782,1.142,1.123,1.561,0.438,0.645,0.946,0.058,1.40e-03
DT,P,1,0,1.065,1.518,1.504,2.074,0.571,0.851,0.934,0.066,1.57e-02
DT,P,0,1,0.982,1.354,1.412,1.867,0.581,0.918,0.952,0.051,4.11e-03
DT,P,0,0,0.741,0.842,1.071,1.203,0.449,0.727,0.944,0.06,4.44e-03
DT,T,1,1,0.706,0.941,1.013,1.286,0.338,0.286,0.951,0.048,8.59e-03
DT,T,1,0,0.642,0.905,0.909,1.229,0.306,0.268,0.951,0.059,5.16e-03
DT,T,0,1,0.793,0.912,1.136,1.237,0.405,0.312,0.957,0.034,5.57e-03
DT,T,0,0,0.729,0.728,1.052,0.999,0.407,0.362,0.941,0.063,6.69e-04
DT,T+P,1,1,0.746,0.936,1.076,1.282,0.381,0.364,0.947,0.053,6.45e-03
DT,T+P,1,0,0.697,0.917,0.992,1.253,0.333,0.271,0.944,0.061,5.99e-03
DT,T+P,0,1,0.765,0.937,1.086,1.275,0.381,0.351,0.952,0.061,1.29e-02
DT,T+P,0,0,0.667,0.692,0.963,0.944,0.361,0.272,0.952,0.04,4.44e-03
LR,P,1,1,0.69,0.558,1.007,0.753,0.415,0.375,0.903,0.158,1.21e-02
LR,P,1,0,0.686,0.526,0.953,0.688,0.392,0.325,0.908,0.121,7.46e-03
LR,P,0,1,1.017,0.898,1.442,1.234,0.592,0.587,0.872,0.207,4.31e-02
LR,P,0,0,1.071,0.978,1.483,1.323,0.603,0.587,0.853,0.235,4.55e-02
LR,T,1,1,0.691,0.867,0.989,1.198,0.401,0.51,0.936,0.181,1.29e-02
LR,T,1,0,0.653,0.763,0.9,1.038,0.368,0.454,0.913,0.183,5.57e-03
LR,T,0,1,0.723,0.901,1.034,1.246,0.419,0.529,0.936,0.18,1.29e-02
LR,T,0,0,0.699,0.899,0.961,1.194,0.39,0.508,0.91,0.188,5.57e-03
LR,T+P,1,1,0.689,0.86,0.987,1.189,0.401,0.507,0.936,0.181,1.29e-02
LR,T+P,1,0,0.652,0.763,0.9,1.038,0.368,0.454,0.913,0.183,5.57e-03
LR,T+P,0,1,0.723,0.904,1.034,1.248,0.419,0.53,0.936,0.18,1.29e-02
LR,T+P,0,0,0.699,0.897,0.961,1.193,0.39,0.507,0.91,0.188,5.57e-03
NN,P,1,1,0.653,0.944,0.937,1.313,0.338,0.335,0.966,0.037,4.13e-05
NN,P,1,0,0.653,0.944,0.937,1.314,0.339,0.342,0.966,0.037,4.13e-05
NN,P,0,1,0.684,0.931,0.969,1.294,0.361,0.357,0.969,0.037,4.13e-05
NN,P,0,0,0.684,0.93,0.969,1.293,0.361,0.357,0.969,0.037,4.13e-05
NN,T,1,1,0.656,0.946,0.94,1.317,0.341,0.347,0.967,0.036,4.13e-05
NN,T,1,0,0.67,0.938,0.968,1.303,0.353,0.346,0.964,0.036,4.13e-05
NN,T,0,1,0.705,0.931,1.0,1.294,0.375,0.361,0.968,0.036,4.13e-05
NN,T,0,0,0.684,0.93,0.969,1.293,0.361,0.357,0.969,0.037,4.13e-05
NN,T+P,1,1,0.656,0.945,0.941,1.314,0.34,0.337,0.967,0.036,4.13e-05
NN,T+P,1,0,0.652,0.945,0.936,1.314,0.338,0.338,0.967,0.036,4.13e-05
NN,T+P,0,1,0.684,0.931,0.969,1.294,0.361,0.357,0.969,0.037,4.13e-05
NN,T+P,0,0,0.65,0.798,0.922,1.111,0.354,0.355,0.967,0.038,3.63e-05
RF,P,1,1,0.627,0.822,0.893,1.134,0.355,0.408,0.968,0.039,1.03e-05
RF,P,1,0,0.571,0.826,0.816,1.138,0.324,0.428,0.971,0.038,1.84e-05
RF,P,0,1,0.733,0.941,1.043,1.3,0.412,0.464,0.97,0.037,2.43e-05
RF,P,0,0,0.672,0.909,0.951,1.255,0.379,0.482,0.97,0.038,1.38e-05
RF,T,1,1,0.542,0.823,0.777,1.132,0.282,0.295,0.97,0.038,1.03e-05
RF,T,1,0,0.502,0.777,0.716,1.067,0.261,0.299,0.969,0.038,7.58e-06
RF,T,0,1,0.592,0.814,0.841,1.118,0.316,0.333,0.969,0.037,2.11e-05
RF,T,0,0,0.53,0.803,0.756,1.106,0.283,0.36,0.97,0.036,1.19e-05
RF,T+P,1,1,0.542,0.787,0.77,1.081,0.286,0.311,0.97,0.037,8.84e-06
RF,T+P,1,0,0.507,0.804,0.729,1.105,0.271,0.347,0.97,0.037,7.58e-06
RF,T+P,0,1,0.584,0.846,0.829,1.165,0.312,0.362,0.97,0.038,8.84e-06
