,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,b0756,b2388,b0688,b4025,b3916,b1723,b4232,b2097,b0118,b0755,b4395,b1854,b1676,b1702,b1852,b0767,b2029,b3386,b2914,b4090,b2935,b2465,b2464,b0008
GLCptspp,2.93,1.34,5.050000000000001,6.630000000000001,13.34,3.04,3.1399999999999997,3.0600000000000005,1.1041428507364917,2.72,2.8400000000000007,2.7,2.76,2.9900000000000007,2.7,3.33000000000003,2.82,2.8000000000000003,3.0,3.179999999999536,3.359999999999621,2.92,3.63,3.18,4.15,4.49,2.97,2.8,2.94
PGI,1.8551897427100112,1.2193918817679195,2.8631544281370394,3.71708201143913,12.317350364839223,2.076987797495205,1.8427808903872582,1.8810815796390028,0.0,1.9214247452303461,1.8434628108203543,1.8419215845605734,1.940870126763334,2.0220944708980286,1.9117020544636767,1.8201904925527292,1.9700381990632325,1.871135661174522,2.0575424159623608,3.1799999999995356,3.3599999999996206,2.9200000000000004,2.343255287785831,3.031501979220971,2.61659713504057,2.6632962110910454,2.0429583798125166,2.6472367299468744,2.028374343662582
PFK,1.5152948796101584,0.2987651714653466,2.9158797709809074,4.09795416727197,6.144581212686434,1.8161052007616532,1.5029414962613532,1.5528363303067365,0.0,1.6000964050074775,1.497647189111856,1.4926737490623858,1.6270975044767704,1.7411853179893528,1.586595855272831,1.4764699605137803,1.6675991536805603,1.5340656049584793,1.7891041012923572,1.8988306567036772,2.019282946635697,1.5314515946900669,2.1867092862981514,0.892249033518185,2.5653857110341356,2.635281492056875,1.7688532766903795,0.9178767457432521,1.748602452088487
FBA,1.5152948796101584,0.29876517146534665,2.915879770980907,4.097954167271969,6.144581212686433,1.8161052007616532,1.502941496261353,1.5528363303067367,0.0,1.6000964050074775,1.497647189111856,1.492673749062386,1.6270975044767702,1.7411853179893528,1.586595855272831,1.4764699605137803,1.6675991536805603,1.5340656049584793,1.7891041012923574,1.8988306567036772,2.019282946635697,1.5314515946900669,2.1867092862981514,0.892249033518185,2.565385711034135,2.635281492056875,1.7688532766903797,0.917876745743252,1.7486024520884869
TPI,2.353918073527155,1.256523045956414,3.9019164622928484,5.069978332673796,12.109113011259847,2.4579449502615134,2.4915574920912977,2.44381906126726,2.196364320357419,2.2238068486979135,2.292545814333076,2.1994136321965594,2.2530741113932153,2.4170829912112337,2.209173217349912,2.614499103300232,2.2969750054366207,2.269868567397202,2.428677687566564,2.9070578775802245,3.069743798755858,2.699904266438246,2.8867626619560705,3.001264023037732,3.2701114900638433,3.5022975411071378,2.4067272405449107,2.616130261038751,2.3847767935232103
PGK,-4.9846947629095055,-2.5370741946048776,-8.376121473359463,-10.890760648914439,-24.226452774999945,-5.1393210164555425,-5.334773588029215,-5.197182489168966,-4.698884454398075,-4.6278378910670845,-4.836807370223388,-4.60465728683,-4.691773281740488,-5.063253389291322,-4.595870195730033,-5.652942499000183,-4.787676367751097,-4.7669386260392175,-5.075385625782494,-5.712098255498299,-6.030998619519402,-5.317543412984926,-6.084956021011821,-6.003722645299628,-6.913528107650273,-7.4719119296507275,-5.0274340827772726,-5.233489433297566,-4.979482539771965
GAPD,4.984694762909506,2.5370741946048776,8.376121473359463,10.89076064891444,24.226452774999945,5.139321016455542,5.334773588029216,5.197182489168966,4.698884454398075,4.6278378910670845,4.836807370223388,4.60465728683,4.691773281740488,5.063253389291323,4.595870195730033,5.652942499000183,4.787676367751097,4.7669386260392175,5.075385625782494,5.712098255498299,6.030998619519402,5.317543412984926,6.084956021011821,6.003722645299628,6.913528107650273,7.4719119296507275,5.027434082777272,5.233489433297566,4.979482539771966
ENO,4.614055550541522,2.465754744393462,7.662900966764626,9.888406239013296,22.759654782051427,4.695103979728745,4.9671559976148565,4.817360685409308,4.4171117603699575,4.236456332767735,4.470484760646311,4.23955117440305,4.2937872886376995,4.637361661199204,4.207790854832403,5.291799812772231,4.379783722443226,4.391708117975372,4.637773023859137,5.247646676804867,5.537084562948516,4.94274991335807,5.550089693370171,5.790730246586982,6.28603800512815,6.827325407431885,4.594774806956505,5.0143793390814375,4.551776590053737
PGM,-4.614055550541522,-2.465754744393462,-7.662900966764626,-9.888406239013296,-22.759654782051427,-4.695103979728745,-4.9671559976148565,-4.817360685409308,-4.4171117603699575,-4.236456332767735,-4.470484760646311,-4.23955117440305,-4.2937872886376995,-4.637361661199204,-4.207790854832403,-5.291799812772231,-4.379783722443226,-4.391708117975372,-4.637773023859137,-5.247646676804867,-5.537084562948516,-4.94274991335807,-5.550089693370171,-5.790730246586982,-6.28603800512815,-6.827325407431885,-4.594774806956505,-5.0143793390814375,-4.551776590053737
PYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4738777951447458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
